sample_id,record_submit_time,sample_parameters,sample_holderno,sample_status,result_print,result_email,result_location_id,result_subfolder_id,sample_duration,exp_id,exp_name,exp_default_parameters,exp_composite,exp_description,exp_hidden,exp_type,user_id,user_trained,user_active,user_head,group_id,group_abbr,group_name,group_searchable,group_status,solvent_id,solvent_abbr,solvent_name,cat_id,cat_abbr,cat_name,cat_color,spectrometer_id,spectrometer_name,spectrometer_capacity
33675,24/07/2013 10:21,default,7,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,162,FALSE,active,FALSE,1,ads,ADS Group,TRUE,active,1,CDCl3,Chloroform-d,3,PhD,PhD Students,7ADB18,5,Alec,60
33676,24/07/2013 10:21,default,8,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,162,FALSE,active,FALSE,1,ads,ADS Group,TRUE,active,1,CDCl3,Chloroform-d,3,PhD,PhD Students,7ADB18,5,Alec,60
33677,24/07/2013 10:21,default,8,ARCHIVED,not_printed,emailed,10,11,00:01:45,20,f19cpd.a.and,ns = 64 ; d1 = 1 ; expt = 2m 9s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - Full Range SW,visible,research_only,162,FALSE,active,FALSE,1,ads,ADS Group,TRUE,active,1,CDCl3,Chloroform-d,3,PhD,PhD Students,7ADB18,5,Alec,60
33683,24/07/2013 11:19,default,11,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,84,FALSE,inactive,FALSE,23,spn,SPN Group,TRUE,inactive,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,5,Alec,60
33684,24/07/2013 11:19,default,12,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,84,FALSE,inactive,FALSE,23,spn,SPN Group,TRUE,inactive,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,5,Alec,60
33685,24/07/2013 11:19,default,13,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,84,FALSE,inactive,FALSE,23,spn,SPN Group,TRUE,inactive,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,5,Alec,60
33687,24/07/2013 11:19,default,14,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,84,FALSE,inactive,FALSE,23,spn,SPN Group,TRUE,inactive,1,CDCl3,Chloroform-d,0,default,Default,FFFFFF,5,Alec,60
33691,24/07/2013 11:38,default,16,ARCHIVED,not_printed,emailed,10,10,00:01:45,20,f19cpd.a.and,ns = 64 ; d1 = 1 ; expt = 2m 9s ; ds = 4 ; td1 = 1 ,non_composite,19F Observe with 1H decoupling - Full Range SW,visible,research_only,8,FALSE,active,FALSE,2,dp,DP Group,TRUE,active,8,Tol,toluene-d8,3,PhD,PhD Students,7ADB18,5,Alec,60
33696,24/07/2013 11:42,default,18,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,25,FALSE,active,FALSE,8,doh,DOH Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
33701,24/07/2013 12:07,default,20,ARCHIVED,not_printed,emailed,10,10,00:00:57,1,proton.a.and,ns = 8 ; d1 = 1 ; expt = 1m 9s ; ds = 2 ; td1 = 1,non_composite,1H Observe  ,visible,research_teaching,74,FALSE,active,FALSE,9,erk,ERK Group,TRUE,active,1,CDCl3,Chloroform-d,2,PostDoc,Contract Research Staff,FF8636,5,Alec,60
